fdc_id,display_name,description,food_category_id,category_name,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,serving_size_g,serving_amount,serving_unit
168013,"Bread, multi-grain","Bread, multi-grain (includes whole-grain)",18,Baked Products,13.36,4.23,43.34,265.0,7.4,381.0,28.35,1.0,oz
174915,"Bread, pita, white","Bread, pita, white, enriched",18,Baked Products,9.1,1.2,55.7,275.0,2.2,536.0,60.0,1.0,"pita, large (6-1/2"" dia)"
174916,"Bread, pita, whole-wheat","Bread, pita, whole-wheat",18,Baked Products,9.8,1.71,55.89,262.0,6.1,421.0,64.0,1.0,"pita, large (6-1/2"" dia)"
172686,"Bread, wheat","Bread, wheat",18,Baked Products,10.67,4.53,47.54,274.0,4.0,473.0,29.0,1.0,slice
174924,"Bread, white","Bread, white, commercially prepared (includes soft bread crumbs)",18,Baked Products,8.85,3.33,49.42,266.0,2.7,490.0,29.0,1.0,slice
172688,"Bread, whole-wheat","Bread, whole-wheat, commercially prepared",18,Baked Products,12.45,3.5,42.71,252.0,6.0,455.0,32.0,1.0,slice
171797,"Beef, ground, 80% lean, cooked, broiled","Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",13,Beef Products,25.75,17.78,0.0,270.0,0.0,75.0,85.0,3.0,oz
171791,"Beef, ground, 95% lean, cooked, broiled","Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled",13,Beef Products,26.29,6.8,0.0,174.0,0.0,65.0,85.0,3.0,oz
173905,"Oats, cooked with water","Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",8,Breakfast Cereals,2.54,1.52,12.0,71.0,1.7,4.0,234.0,1.0,cup
170287,"Bulgur, cooked","Bulgur, cooked",20,Cereal Grains and Pasta,3.08,0.24,18.58,83.0,4.5,5.0,182.0,1.0,cup
169700,"Couscous, cooked","Couscous, cooked",20,Cereal Grains and Pasta,3.79,0.16,23.22,112.0,1.4,5.0,157.0,1.0,"cup, cooked"
169705,"Oats, raw",Oats (Includes foods for USDA's Food Distribution Program),20,Cereal Grains and Pasta,16.89,6.9,66.27,389.0,10.6,2.0,156.0,1.0,cup
169737,"Pasta, cooked, enriched","Pasta, cooked, enriched, without added salt",20,Cereal Grains and Pasta,5.8,0.93,30.86,158.0,1.8,1.0,124.0,1.0,cup spaghetti not packed
170285,"Pasta, whole-wheat, cooked","Barley, pearled, cooked",20,Cereal Grains and Pasta,2.26,0.44,28.22,123.0,3.8,3.0,157.0,1.0,cup
168917,"Quinoa, cooked","Quinoa, cooked",20,Cereal Grains and Pasta,4.4,1.92,21.3,120.0,2.8,7.0,185.0,1.0,cup
169704,"Rice, brown, long-grain, cooked","Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",20,Cereal Grains and Pasta,2.74,0.97,25.58,123.0,1.6,4.0,202.0,1.0,cup
168878,"Rice, white, long-grain, cooked","Rice, white, long-grain, regular, enriched, cooked",20,Cereal Grains and Pasta,2.69,0.28,28.17,130.0,0.4,1.0,158.0,1.0,cup
171314,"Butter, Clarified (ghee)","Butter, Clarified butter (ghee)",1,Dairy and Egg Products,0.0,100.0,0.0,900.0,0.0,0.0,,,
173430,"Butter, without salt","Butter, without salt",1,Dairy and Egg Products,0.85,81.11,0.06,717.0,0.0,11.0,5.0,1.0,"pat (1"" sq, 1/3"" high)"
173414,"Cheese, cheddar","Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",1,Dairy and Egg Products,22.87,33.31,3.37,403.0,0.0,653.0,132.0,1.0,"cup, diced"
172179,"Cheese, cottage, creamed","Cheese, cottage, creamed, large or small curd",1,Dairy and Egg Products,11.12,4.3,3.38,98.0,0.0,315.0,113.0,4.0,oz
173420,"Cheese, feta","Cheese, feta",1,Dairy and Egg Products,14.21,21.49,3.88,265.0,0.0,1139.0,150.0,1.0,"cup, crumbled"
171241,"Cheese, gouda","Cheese, gouda",1,Dairy and Egg Products,24.94,27.44,2.22,356.0,0.0,819.0,28.35,1.0,oz
170845,"Cheese, mozzarella, whole milk","Cheese, mozzarella, whole milk",1,Dairy and Egg Products,22.17,22.14,2.4,299.0,0.0,486.0,112.0,1.0,"cup, shredded"
170848,"Cheese, parmesan, hard","Cheese, parmesan, hard",1,Dairy and Egg Products,35.75,25.0,3.22,392.0,0.0,1175.0,28.35,1.0,oz
170851,"Cheese, ricotta, whole milk","Cheese, ricotta, whole milk",1,Dairy and Egg Products,7.54,10.18,7.27,150.0,0.0,110.0,124.0,0.5,cup
171257,"Cream, sour, cultured","Cream, sour, cultured",1,Dairy and Egg Products,2.44,19.35,4.63,198.0,0.0,31.0,12.0,1.0,tbsp
172183,"Egg, white, raw, fresh","Egg, white, raw, fresh",1,Dairy and Egg Products,10.9,0.17,0.73,52.0,0.0,166.0,33.0,1.0,large
173423,"Egg, whole, cooked, fried","Egg, whole, cooked, fried",1,Dairy and Egg Products,13.61,14.84,0.83,196.0,0.0,207.0,46.0,1.0,large
173424,"Egg, whole, cooked, hard-boiled","Egg, whole, cooked, hard-boiled",1,Dairy and Egg Products,12.58,10.61,1.12,155.0,0.0,124.0,136.0,1.0,"cup, chopped"
172187,"Egg, whole, cooked, scrambled","Egg, whole, cooked, scrambled",1,Dairy and Egg Products,9.99,10.98,1.61,149.0,0.0,145.0,61.0,1.0,large
171267,"Milk, reduced fat, 2% milkfat","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1,Dairy and Egg Products,3.3,1.98,4.8,50.0,0.0,47.0,244.0,1.0,cup
171265,"Milk, whole, 3.25% milkfat","Milk, whole, 3.25% milkfat, with added vitamin D",1,Dairy and Egg Products,3.15,3.25,4.8,61.0,0.0,43.0,244.0,1.0,cup
171304,"Yogurt, Greek, plain, whole milk","Yogurt, Greek, plain, whole milk",1,Dairy and Egg Products,9.0,5.0,3.98,97.0,0.0,35.0,,,
171284,"Yogurt, plain, whole milk","Yogurt, plain, whole milk",1,Dairy and Egg Products,3.47,3.25,4.66,61.0,0.0,46.0,170.0,1.0,container (6 oz)
171042,"Oil, canola","Oil, industrial, canola, high oleic",4,Fats and Oils,0.0,100.0,0.0,900.0,0.0,0.0,14.0,1.0,tablespoon
171412,"Oil, coconut","Oil, coconut",4,Fats and Oils,0.0,99.06,0.0,892.0,0.0,0.0,13.6,1.0,tbsp
171413,"Oil, olive, salad or cooking","Oil, olive, salad or cooking",4,Fats and Oils,0.0,100.0,0.0,884.0,0.0,2.0,13.5,1.0,tablespoon
171016,"Oil, sesame, salad or cooking","Oil, sesame, salad or cooking",4,Fats and Oils,0.0,100.0,0.0,884.0,0.0,0.0,13.6,1.0,tablespoon
171025,"Oil, sunflower, linoleic","Oil, sunflower, linoleic, (approx. 65%)",4,Fats and Oils,0.0,100.0,0.0,884.0,0.0,0.0,13.6,1.0,tbsp
171956,"Fish, cod, Atlantic, cooked","Fish, cod, Atlantic, cooked, dry heat",15,Finfish and Shellfish Products,22.83,0.86,0.0,105.0,0.0,78.0,85.0,3.0,oz
175168,"Fish, salmon, Atlantic, farmed, cooked","Fish, salmon, Atlantic, farmed, cooked, dry heat",15,Finfish and Shellfish Products,22.1,12.35,0.0,206.0,0.0,61.0,85.0,3.0,oz
175177,"Fish, tilapia, cooked","Fish, tilapia, cooked, dry heat",15,Finfish and Shellfish Products,26.15,2.65,0.0,128.0,0.0,56.0,87.0,1.0,fillet
